 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:42
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:43
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:44
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:45
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:46
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:47
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:48
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:49
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:50
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:51
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:52
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:53
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:54
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:55
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:56
 %CPU %MEM  ELAPSED
  0.0  0.1 10:37:57
